type,model,split,mae,rmse,r2,mape,mbe
Traditional ML,rf,train,0.37504594246957657,0.6075062180109104,0.9237247346127704,13.679029264748282,-0.001996927749123271
Traditional ML,dt,train,0.6443370353776683,0.9985337262526155,0.7939333320601141,23.801497652053342,4.020948570585436e-17
Traditional ML,xgb,train,0.36704275012016296,0.5514806811026202,0.9371445775032043,15.406177520751953,0.0003496235585771501
Traditional ML,lgb,train,0.4823445073574581,0.744581128718628,0.8854206584111222,18.88841388674965,6.505638153442704e-06
Traditional ML,catboost,train,0.46026053908965536,0.7079893298229665,0.8964057388258684,18.186300721457734,1.6446052582493198e-05
Deep Learning,lstm,train,0.37183904534784396,0.5374990163505229,0.9402912993858044,16.080223735598747,0.2500046475535219
Deep Learning,gru,train,0.41370799552760895,0.6937180140009392,0.9005400545417206,19.536857595999173,0.0707116817148114
Deep Learning,bilstm,train,0.14205742393660767,0.21660728383358938,0.9903032011761087,7.871552557459532,-0.006914861498825849
Hybrid,cnn_lstm,train,0.29287463085015186,0.4508453509658672,0.957991472005142,15.01727247608467,0.0713936586743524
Hybrid,attention_lstm,train,0.15204633392798086,0.2237028587345562,0.9896575044997813,8.732709751474319,-0.0015764600987476704
Hybrid,prophet_lgb,train,0.5076893581134774,0.8088768813194022,0.8638551743954261,19.24806111525499,-0.000406421559213241
Traditional ML,rf,val,0.5447025895543265,0.8861668111747171,0.8459824570012023,19.532516322983405,0.012205744393480265
Traditional ML,dt,val,0.6580630672835519,1.0317912472440969,0.791203647212355,23.72563907665292,0.03972004251601252
Traditional ML,xgb,val,0.5307064652442932,0.8603582825760893,0.8548229932785034,19.507171630859375,0.05430171266198158
Traditional ML,lgb,val,0.5577553257663034,0.8953618732550553,0.8427696346352356,20.44287665648764,0.05123600637738836
Traditional ML,catboost,val,0.5479508655418108,0.8795475593674154,0.8482747418491104,20.21119682023203,0.036101631213096716
Deep Learning,lstm,val,0.5140810952105355,0.8188507130984747,0.8684930538960447,23.796502530310693,0.27522198195922837
Deep Learning,gru,val,0.5082205833095946,0.8877688067476209,0.8454250936679558,21.601973009120538,0.06719105119864262
Deep Learning,bilstm,val,0.38804676546143996,0.7183097041373461,0.8988041513749307,16.10499834342472,0.030654598844689487
Hybrid,cnn_lstm,val,0.43001989452272454,0.7334000836788234,0.8945076080311383,19.896694830182025,0.0713674442772591
Hybrid,attention_lstm,val,0.3672744938886421,0.6553015369800085,0.9157787655716992,16.45916025757893,0.018495545150363193
Hybrid,prophet_lgb,val,0.7277964321305307,1.0802939526770758,0.776657225511807,30.308074346089047,-0.00155392885303687
Traditional ML,rf,test,0.5049598456670722,0.8106492663116215,0.8642661518460772,18.599057316254445,0.045904327246213274
Traditional ML,dt,test,0.6508861359342553,1.0058413408574087,0.7910313500888524,24.496976397526907,0.021022252614985235
Traditional ML,xgb,test,0.48913270235061646,0.772409275801388,0.8767697811126709,18.784502029418945,0.05729931220412254
Traditional ML,lgb,test,0.526874346672563,0.8259339305243647,0.859099417124009,20.249939944776866,0.05910186739700046
Traditional ML,catboost,test,0.517826589105471,0.8117554232229488,0.8638954727425393,19.876936689272664,0.057692456011252245
Deep Learning,lstm,test,0.4917747914586526,0.7711322490981692,0.8771769421120548,18.395214210936537,0.3002253752020481
Deep Learning,gru,test,0.46580693792974964,0.777002829515994,0.8752997355367853,20.51161322616706,0.11856400889101905
Deep Learning,bilstm,test,0.34514460719281037,0.5972281114995797,0.9263279665079633,13.366958691752096,0.04925677826551266
Hybrid,cnn_lstm,test,0.3928611713398712,0.6412298292937373,0.9150722520436951,16.952793836462263,0.12266569500931059
Hybrid,attention_lstm,test,0.3334283684420441,0.5684587808247304,0.9332547855946298,13.58776222156058,0.04534621860498064
Hybrid,prophet_lgb,test,0.8139525031728542,1.113032263070192,0.7422277898062175,52.21761522190936,-0.33828170904594973
