notebook,model,split,MAE,RMSE,R2,MAPE
regression,LinearRegression,train,0.5597356896259199,0.8156490142620758,0.7934970694218718,244.67562994230119
regression,LinearRegression,val,0.6227277023597397,0.9711825801967975,0.7568660712991843,244.05859087816458
regression,LinearRegression,test,0.6120870809629612,0.879803574406205,0.7462144052150492,264.0294831551544
regression,DecisionTree,train,0.19114797448277412,0.4790281500470533,0.9287734910129388,7.5262698439534175
regression,DecisionTree,val,0.3177407813929719,0.7649956914001743,0.8491442813811956,14.427489556540696
regression,DecisionTree,test,0.2874990919095191,0.697612486347377,0.8404400050948638,22.044805405808056
regression,RandomForest,train,0.20689418852433977,0.48452803154174257,0.9271285513904317,14.36469803580091
regression,RandomForest,val,0.30368756623755955,0.6948142461511119,0.8755539178354651,23.450050414990674
regression,RandomForest,test,0.26831297164837753,0.6171276906616325,0.8751336000470857,28.98267433442084
regression,XGBoost,train,0.2075344932233157,0.462098885055197,0.9337189424350552,21.601234036061097
regression,XGBoost,val,0.3170853627831248,0.7095793771431919,0.8702086440729205,30.218805539501307
regression,XGBoost,test,0.28415224127759325,0.6371849428271666,0.8668851422951174,36.34871963613997
regression,LightGBM,train,0.20853786217315565,0.4729926401019336,0.9305570192536653,19.572643192067403
regression,LightGBM,val,0.31387503226904045,0.711178961305028,0.8696228147462808,27.086918581543163
regression,LightGBM,test,0.28308653006877127,0.6389223102114273,0.8661582428045789,33.94128674874043
regression,CatBoost,train,0.2240000401988689,0.513097279727631,0.9182817585223579,19.99213890899535
regression,CatBoost,val,0.30966040159822883,0.70926369164291,0.8703241044037366,25.645080930006348
regression,CatBoost,test,0.27978833414204834,0.6312601043409858,0.8693491592733015,33.69902227620397
regression,LSTM,train,0.19494827980129306,0.49723830739530733,0.9232502480217709,10.002034339039154
regression,LSTM,val,0.26467579060788166,0.6412649099410701,0.8943771039559925,12.034612244107077
regression,LSTM,test,0.24962472374037462,0.6025384382253051,0.881475760102671,20.752213762268127
regression,GRU,train,0.2006232251802748,0.5035800154359883,0.9212800525630471,11.150739257696026
regression,GRU,val,0.26726038719509804,0.6317963277400511,0.8974732209841966,13.085924614326084
regression,GRU,test,0.25755346518832156,0.6046450120883754,0.8806455507370685,21.49468153778883
regression,BiLSTM,train,0.20089365814643761,0.5041153128827341,0.9211126075418061,13.386868629814867
regression,BiLSTM,val,0.2679695326076262,0.6334437636244006,0.89693783797351,17.854102188869497
regression,BiLSTM,test,0.265210251480998,0.6206525739454376,0.8742422421671633,29.615923401852655
